1789387280,3.96220199,3.55928366,24.57,1023.233
1789387290,3.97482103,3.5704136600000003,24.57,1023.23
1789387300,3.96761015,3.5648486600000004,24.55,1023.231
1789387310,3.9712155900000004,3.5670746600000003,24.54,1023.221
1789387320,3.96761015,3.5648486600000004,24.54,1023.21
1789387330,3.97482103,3.5704136600000003,24.54,1023.205
1789387340,3.9856373499999997,3.5815436600000004,24.53,1023.211
1789387350,4.00005911,3.59378666,24.51,1023.217
1789387360,4.01808631,3.6104816600000005,24.5,1023.241
1789387370,3.99465095,3.41570666,24.53,1023.216
1789387380,3.98383463,3.4034636600000003,24.5,1023.219
1789387390,3.9820319100000003,3.4034636600000003,24.5,1023.217
1789387400,3.9856373499999997,3.40568966,24.5,1023.22
1789387410,3.97301831,3.3967856600000004,24.5,1023.226
1789387420,3.96941287,3.3934466600000004,24.51,1023.215
1789387430,3.9603992700000004,3.3823166600000003,24.51,1023.219
1789387440,3.9658074300000004,3.3889946600000003,24.51,1023.213
1789387450,3.96941287,3.5670746600000003,24.51,1023.211
1789387460,3.96941287,3.5670746600000003,24.5,1023.203
1789387470,3.96941287,3.5670746600000003,24.53,1023.213
1789387480,3.9712155900000004,3.56930066,24.51,1023.207
1789387490,3.96761015,3.56596166,24.54,1023.202
1789387500,3.9658074300000004,3.5648486600000004,24.54,1023.209
1789387510,3.9603992700000004,3.5581706600000005,24.53,1023.204
1789387520,3.9658074300000004,3.5637356600000003,24.53,1023.204
1789387530,3.97301831,3.5715266600000004,24.53,1023.237
1789387540,3.96941287,3.5670746600000003,24.53,1023.205
1789387550,3.95859655,3.5581706600000005,24.5,1023.207
1789387560,3.95318839,3.5514926600000005,24.5,1023.212
1789387570,3.95318839,3.55260566,24.48,1023.205
1789387580,3.9495829500000004,3.5492666600000002,24.48,1023.201
1789387590,3.94597751,3.5470406600000004,24.53,1023.203
1789387600,3.95138567,3.5503796600000004,24.51,1023.21
1789387610,3.9549911100000004,3.5537186600000004,24.51,1023.202
1789387620,3.96400471,3.5615096600000005,24.51,1023.228
1789387630,3.97301831,3.56930066,24.5,1023.198
1789387640,3.96941287,3.56596166,24.51,1023.193
1789387650,3.96761015,3.5637356600000003,24.48,1023.193
1789387660,3.95138567,3.5503796600000004,24.51,1023.192
1789387670,3.92975303,3.53145866,24.5,1023.19
1789387680,3.91893671,3.5225546600000004,24.51,1023.198
1789387690,3.9207394300000002,3.5236676600000005,24.51,1023.208
1789387700,3.91893671,3.5236676600000005,24.51,1023.215
1789387710,3.91893671,3.5225546600000004,24.54,1023.215
1789387720,3.91893671,3.5236676600000005,24.53,1023.26
1789387730,3.9171339900000004,3.5214416600000003,24.53,1023.227
1789387740,3.9117258300000004,3.51698966,24.54,1023.21
1789387750,3.91352855,3.5181026600000003,24.54,1023.212
1789387760,3.91893671,3.5225546600000004,24.57,1023.261
1789387770,3.91893671,3.5225546600000004,24.57,1023.211
1789387780,3.91893671,3.5236676600000005,24.55,1023.209
1789387790,3.92975303,3.53145866,24.55,1023.207
1789387800,3.93516119,3.5359106600000003,24.57,1023.209
1789387810,3.9225421500000004,3.5247806600000002,24.57,1023.211
1789387820,3.92434487,3.5270066600000005,24.54,1023.217
1789387830,3.9261475900000002,3.5292326600000004,24.54,1023.258
1789387840,3.91893671,3.5214416600000003,24.54,1023.218
1789387850,3.9099231100000003,3.51365066,24.55,1023.224
1789387860,3.90812039,3.5125376600000005,24.54,1023.227
1789387870,3.9099231100000003,3.5147636600000003,24.55,1023.221
1789387880,3.9099231100000003,3.5147636600000003,24.57,1023.224
1789387890,3.91893671,3.5225546600000004,24.57,1023.225
1789387900,3.9225421500000004,3.5258936600000004,24.57,1023.23
1789387910,3.9117258300000004,3.51698966,24.57,1023.241
1789387920,3.90271223,3.5091986600000005,24.57,1023.242
1789387930,3.8991067900000003,3.5058596600000005,24.58,1023.236
1789387940,3.90090951,3.5058596600000005,24.58,1023.241
1789387950,3.8991067900000003,3.5047466600000003,24.58,1023.241
1789387960,3.90271223,3.5080856600000003,24.57,1023.235
1789387970,3.8991067900000003,3.5047466600000003,24.58,1023.238
1789387980,3.8936986300000003,3.5014076600000004,24.55,1023.237
1789387990,3.89189591,3.4991816600000005,24.58,1023.235
