1788794250,3.3420663100000003,2.65246173,24.85
1788794260,3.3420663100000003,2.65064713,24.85
1788794270,3.34026359,2.64520333,24.83
1788794280,3.34927719,2.65064713,24.82
1788794290,3.34567175,2.64520333,24.83
1788794300,3.34386903,2.64157413,24.82
1788794310,3.34026359,2.63613033,24.82
1788794320,3.3420663100000003,2.63522303,24.82
1788794330,3.3366581500000003,2.62887193,24.79
1788794340,3.3312499900000003,2.62252083,24.81
1788794350,3.33485543,2.62252083,24.81
1788794360,3.33305271,2.61798433,24.81
1788794370,3.33485543,2.61889163,24.81
1788794380,3.33305271,2.61526243,24.81
1788794390,3.32944727,2.61163323,24.82
1788794400,3.3258418300000003,2.60709673,24.81
1788794410,3.32764455,2.60709673,24.81
1788794420,3.33485543,2.61072593,24.79
1788794430,3.34927719,2.61979893,24.81
1788794440,3.35468535,2.62252083,24.79
1788794450,3.35107991,2.61798433,24.79
1788794460,3.34567175,2.61344783,24.78
1788794470,3.33485543,2.60437483,24.79
1788794480,3.3312499900000003,2.60165293,24.79
1788794490,3.32403911,2.59439453,24.76
1788794500,3.3258418300000003,2.59711643,24.78
1788794510,3.32403911,2.59348723,24.79
1788794520,3.31682823,2.58804343,24.78
1788794530,3.3150255100000003,2.58622883,24.76
1788794540,3.31322279,2.58532153,24.75
1788794550,3.3096173500000003,2.58350693,24.76
1788794560,3.31142007,2.58169233,24.76
1788794570,3.30601191,2.57806313,24.76
1788794580,3.30781463,2.57897043,24.75
1788794590,3.30601191,2.57806313,24.76
1788794600,3.3096173500000003,2.57987773,24.76
1788794610,3.30781463,2.57806313,24.78
1788794620,3.31142007,2.58078503,24.78
1788794630,3.3096173500000003,2.57897043,24.78
1788794640,3.30781463,2.57715583,24.75
1788794650,3.30240647,2.57261933,24.76
1788794660,3.30060375,2.57171203,24.76
1788794670,3.30601191,2.57534123,24.78
1788794680,3.30781463,2.57624853,24.75
1788794690,3.30781463,2.57715583,24.75
1788794700,3.3096173500000003,2.57897043,24.76
1788794710,3.30601191,2.57624853,24.78
1788794720,3.3096173500000003,2.57715583,24.76
1788794730,3.32764455,2.59076533,24.76
1788794740,3.3474744700000003,2.60528213,24.72
1788794750,3.34567175,2.60437483,24.76
1788794760,3.34567175,2.60346753,24.75
1788794770,3.36189623,2.61616973,24.75
1788794780,3.3853315900000003,2.63159383,24.75
1788794790,3.40335879,2.64520333,24.75
1788794800,3.4177805500000003,2.65609093,24.75
1788794810,3.41597783,2.65336903,24.76
1788794820,3.41056967,2.64973983,24.75
1788794830,3.4015560700000003,2.64429603,24.76
1788794840,3.38713431,2.63250113,24.76
1788794850,3.36730439,2.61889163,24.75
1788794860,3.35468535,2.60981863,24.74
1788794870,3.3366581500000003,2.59711643,24.74
1788794880,3.32403911,2.58713613,24.74
1788794890,3.3204336700000003,2.58532153,24.75
1788794900,3.32944727,2.59167263,24.75
1788794910,3.3258418300000003,2.58985803,24.75
1788794920,3.31863095,2.58259963,24.74
1788794930,3.32223639,2.58622883,24.76
1788794940,3.3150255100000003,2.58078503,24.74
1788794950,3.31322279,2.58078503,24.75
1788794960,3.31142007,2.57897043,24.75
1788794970,3.3204336700000003,2.58622883,24.76
1788794980,3.3204336700000003,2.58622883,24.74
1788794990,3.31863095,2.58350693,24.75
1788795000,3.33846087,2.59802373,24.75
1788795010,3.36550167,2.61798433,24.76
1788795020,3.38713431,2.63340843,24.75
1788795030,3.39795063,2.64157413,24.76
1788795040,3.3907397500000003,2.63613033,24.72
1788795050,3.37812071,2.62705733,24.74
1788795060,3.37271255,2.62252083,24.72
1788795070,3.3799234300000003,2.62887193,24.75
1788795080,3.38713431,2.63340843,24.75
1788795090,3.38352887,2.63068653,24.75
1788795100,3.38352887,2.63068653,24.74
1788795110,3.38172615,2.62977923,24.75
1788795120,3.39434519,2.63975953,24.74
1788795130,3.39254247,2.63794493,24.74
1788795140,3.3853315900000003,2.63340843,24.76
1788795150,3.3853315900000003,2.63340843,24.71
1788795160,3.4123723900000003,2.65155443,24.74
1788795170,3.40876695,2.64973983,24.75
1788795180,3.39795063,2.64157413,24.71
1788795190,3.3907397500000003,2.63703763,24.71
1788795200,3.37271255,2.62433543,24.72
1788795210,3.36009351,2.61435513,24.72
1788795220,3.36550167,2.61798433,24.72
1788795230,3.36550167,2.61889163,24.71
1788795240,3.3691071100000003,2.62161353,24.69
1788795250,3.3745152700000003,2.62433543,24.68
1788795260,3.3636989500000003,2.61798433,24.71
1788795270,3.36009351,2.61435513,24.71
1788795280,3.3420663100000003,2.60256023,24.71
1788795290,3.3474744700000003,2.60709673,24.69
1788795300,3.3420663100000003,2.60256023,24.69
1788795310,3.35468535,2.61163323,24.71
1788795320,3.3636989500000003,2.61889163,24.69
1788795330,3.3799234300000003,2.63068653,24.69
1788795340,3.38172615,2.63250113,24.69
1788795350,3.37812071,2.62887193,24.69
1788795360,3.3799234300000003,2.63068653,24.68
1788795370,3.38172615,2.63068653,24.69
